Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /dang-ky [discover action],20,0,5100,7702.893295700778,207.5619159732014,32327.220292005222,20197.3,0.16714528295344536,0.0,5300,6100,7100,8000,31000,32000,32000,32000,32000,32000,32000
GET,GET /dang-ky [registration ramp],286,0,110,292.96050174446725,67.08408298436552,27103.234457958024,20223.104895104894,2.390177546234269,0.0,110,120,130,140,160,180,210,2800,27000,27000,27000
GET,GET /dang-ky chunk,20,0,78,2307.8729811968515,47.50054102623835,24210.946750012226,3517.0,0.16714528295344536,0.0,79,160,2800,3900,7500,24000,24000,24000,24000,24000,24000
POST,POST /dang-ky [register ramp],1263,1263,72,133.62159612580288,44.96441700030118,20746.96820799727,93.0,10.555224618510074,10.555224618510074,72,80,86,90,100,110,150,220,20000,21000,21000
,Aggregated,1589,1263,77,284.9377627084703,44.96441700030118,32327.220292005222,4012.3052234109505,13.279692730651234,10.555224618510074,77,89,98,100,130,160,410,6100,31000,32000,32000
