Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,447,0,1500,1503.2129891781774,170.4569589928724,2566.4834160124883,100993.83445190157,2.4871222697933404,0.0,1500,1600,1800,1800,2000,2100,2300,2400,2600,2600,2600
GET,GET /api/health,500,0,500,528.8960165094468,64.41550000454299,1263.3656249963678,46.0,2.782015961737517,0.0,500,610,690,720,840,970,1100,1100,1300,1300,1300
GET,GET /api/public/competition,355,0,360,393.68251210978764,61.12879200372845,1055.2378330030479,416.0,1.975231332833637,0.0,360,470,530,570,680,740,810,930,1100,1100,1100
GET,GET /api/public/event-state,171,0,440,477.05869321651454,77.98274999368005,1140.0998339813668,14.0,0.9514494589142308,0.0,440,530,620,650,760,890,1000,1100,1100,1100,1100
GET,GET /api/public/finalists,92,0,420,423.24346336744895,78.57445898116566,1019.8812909948174,12.0,0.5118909369597031,0.0,420,460,510,590,690,790,960,1000,1000,1000,1000
GET,GET /api/public/scoreboard,102,0,390,419.91847841207203,73.24204200995155,1054.706625000108,14.0,0.5675312561944534,0.0,390,490,550,600,680,720,910,970,1100,1100,1100
GET,GET /api/public/timeline,297,0,430,456.74680484190696,86.19566698325798,1291.6450829943642,1398.0,1.652517481272085,0.0,430,520,570,600,710,800,950,1100,1300,1300,1300
GET,GET /dang-nhap,91,0,900,975.8782000792633,220.94575001392514,1669.7605840163305,16794.945054945056,0.5063269050362281,0.0,900,1100,1200,1200,1400,1500,1600,1700,1700,1700,1700
GET,GET /faq,173,0,1200,1166.53172401819,182.6661250088364,2001.1723749921657,26626.231213872834,0.9625775227611809,0.0,1200,1300,1400,1400,1600,1600,1700,1800,2000,2000,2000
GET,GET /lich-trinh,211,0,1200,1213.344545667617,204.12412501173094,1964.041500003077,22755.81990521327,1.1740107358532321,0.0,1200,1300,1400,1500,1600,1800,1900,1900,2000,2000,2000
GET,GET /the-le,290,0,1000,1036.8793653851126,128.40991700068116,1863.0418330139946,17294.255172413792,1.6135692578077598,0.0,1000,1200,1300,1300,1500,1600,1700,1700,1900,1900,1900
GET,GET /tin-tuc,198,0,1000,1025.6119674191318,236.54383400571533,1783.188791014254,17196.76767676768,1.1016783208480567,0.0,1000,1200,1300,1300,1400,1500,1700,1700,1800,1800,1800
GET,GET /tin-tuc/huong-dan-dang-ky-va-audition,96,0,1100,1085.9182048240352,220.38241699920036,2049.940708995564,28566.208333333332,0.5341470646536033,0.0,1100,1300,1300,1400,1600,1700,1800,2000,2000,2000,2000
,Aggregated,3023,0,730,836.8466304976042,61.12879200372845,2566.4834160124883,22439.253059874296,16.820068504665027,0.0,730,1000,1200,1300,1500,1700,1900,2000,2400,2600,2600
