Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,1,0,6380.09374999092,6380.09374999092,6380.09374999092,6380.09374999092,100995.0,0.11193518925897177,0.0,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400
GET,GET / [scoreboard surge],4,0,5600,5604.173187995912,4567.772167007206,6508.396708988585,100995.0,0.44774075703588706,0.0,5800,5800,6500,6500,6500,6500,6500,6500,6500,6500,6500
GET,GET /api/auth/csrf,2,0,730.0627919903491,2550.751145987306,730.0627919903491,4371.4394999842625,80.0,0.22387037851794353,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
GET,GET /api/auth/csrf [auth user],10,0,3000,2631.6995917994063,284.61933400831185,4503.23954198393,80.0,1.1193518925897177,0.0,3200,3600,3700,4300,4500,4500,4500,4500,4500,4500,4500
GET,GET /api/health,2,0,4633.743291982682,4746.441458497429,4633.743291982682,4859.139625012176,46.0,0.22387037851794353,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,GET /api/public/competition,4,0,3600,3429.0241252456326,738.0894160014577,4714.549458993133,416.0,0.44774075703588706,0.0,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700
GET,GET /api/public/event-state,3,0,2800,2211.2593056614664,1027.5414999923669,2847.017624997534,14.0,0.3358055677769153,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,GET /api/public/scoreboard,3,0,1000,2178.3139306644443,897.9178750014398,4620.866624987684,14.0,0.3358055677769153,0.0,1000,1000,4600,4600,4600,4600,4600,4600,4600,4600,4600
GET,GET /api/public/timeline,2,0,2747.232791996794,2948.9255209919065,2747.232791996794,3150.618249987019,1398.0,0.22387037851794353,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
GET,GET /dang-ky,1,0,2407.2099170007277,2407.2099170007277,2407.2099170007277,2407.2099170007277,17218.0,0.11193518925897177,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,GET /dang-ky [discover action],10,0,4400,3833.235600104672,999.8635409865528,5696.442042011768,17222.3,1.1193518925897177,0.0,4600,4800,4900,5500,5700,5700,5700,5700,5700,5700,5700
GET,GET /dang-nhap,1,0,4721.589291002601,4721.589291002601,4721.589291002601,4721.589291002601,16794.0,0.11193518925897177,0.0,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700
GET,GET /faq,4,0,5500,4644.144239500747,1045.43520801235,6117.346290993737,26630.0,0.44774075703588706,0.0,5900,5900,6100,6100,6100,6100,6100,6100,6100,6100,6100
GET,GET /lich-trinh,2,0,4932.624707987998,5455.09274948563,4932.624707987998,5977.5607909832615,22762.0,0.22387037851794353,0.0,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
GET,GET /scoreboard,5,0,5300,4974.995558796218,3775.6761249911506,5838.76945899101,15862.0,0.5596759462948588,0.0,5300,5500,5500,5800,5800,5800,5800,5800,5800,5800,5800
GET,GET /the-le,1,0,1018.1457499857061,1018.1457499857061,1018.1457499857061,1018.1457499857061,17301.0,0.11193518925897177,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,GET /tin-tuc,2,0,4041.615041991463,5009.884395985864,4041.615041991463,5978.153749980265,17205.0,0.22387037851794353,0.0,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
,Aggregated,57,0,4400,3743.0113137341227,284.61933400831185,6508.396708988585,17541.59649122807,6.380305787761391,0.0,4400,4700,4900,5500,5900,6100,6400,6500,6500,6500,6500
