Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET / [scoreboard surge],93,0,4300,4308.81054842061,2916.9300829817075,6051.675124996109,113643.58064516129,0.7793839959551263,0.0,4300,4500,4600,4900,5200,5600,5800,6100,6100,6100,6100
GET,GET /api/public/event-state,147,0,3200,3203.234431696153,2331.0067919956055,4593.147834006231,14.0,1.2319295419935867,0.0,3200,3400,3600,3700,4100,4200,4400,4400,4600,4600,4600
GET,GET /api/public/scoreboard,274,0,3100,3165.759507638813,2214.5575839967933,5080.860000016401,14.0,2.2962496224914477,0.0,3100,3300,3500,3600,3900,4200,4600,4700,5100,5100,5100
GET,GET /api/public/scoreboard [burst],1417,0,3100,3119.452970841383,360.740917007206,4772.140000015497,14.0,11.875130346972194,0.0,3100,3300,3500,3600,3900,4100,4300,4600,4700,4800,4800
GET,GET /scoreboard,175,0,3600,3716.2743823320075,2727.928417007206,5806.500792008592,17001.685714285715,1.4665827880876035,0.0,3600,4000,4100,4200,4500,4600,5200,5600,5800,5800,5800
GET,GET /scoreboard [burst],548,0,3600,3728.0914790055886,1539.7189169889316,5274.0065830003,16997.317518248175,4.592499244982895,0.0,3600,4000,4200,4300,4600,4700,5200,5200,5300,5300,5300
,Aggregated,2654,0,3300,3335.576471228672,360.740917007206,6051.675124996109,8622.611152976639,22.241775540482852,0.0,3300,3500,3700,3900,4200,4600,4800,5100,5800,6100,6100
