Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/auth/csrf [login ramp],24091,0,510,2808.8761476589602,35.12308397330344,76273.44441600144,80.0,22.292668329118165,0.0,510,670,830,960,3800,22000,33000,41000,70000,74000,76000
GET,GET /dang-nhap [login ramp],5926,0,4300,6740.521532332243,75.30420896364376,82253.8806249504,15115.822645966926,5.483639222878015,0.0,4300,5600,6900,7900,13000,27000,38000,45000,74000,82000,82000
POST,POST /api/auth/callback/credentials [login ramp],23744,90,5700,9880.452787994587,52.31300002196804,125998.29141702503,15659.426381401618,21.97157099359021,0.0832817296758389,5700,7600,9500,12000,26000,36000,48000,61000,80000,116000,126000
,Aggregated,53761,90,2800,6365.477518498446,35.12308397330344,125998.29141702503,8618.163073603542,49.74787854558639,0.0832817296758389,2800,5000,6600,8000,18000,30000,41000,52000,76000,102000,126000
