Method,Name,Error,Occurrences,First Seen,Last Seen
POST,POST /api/auth/callback/credentials [login ramp],CatchResponseError('status 502'),84,2026-09-12T18:06:50Z,2026-09-12T18:23:54Z
POST,POST /api/auth/callback/credentials [login ramp],CatchResponseError('status 504'),6,2026-09-12T18:22:31Z,2026-09-12T18:24:17Z
