Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET / [scoreboard surge],612,0,360,600.2459734531037,186.7950830492191,13387.579249974806,155087.99836601308,5.12339358768358,0.0,360,410,460,490,650,870,5600,10000,13000,13000,13000
GET,GET /api/public/event-state,875,0,45,70.12825481008205,24.165957991499454,3743.6044170171954,397.0,7.32511338108355,0.0,45,50,53,55,64,140,260,460,3700,3700,3700
GET,GET /api/public/scoreboard,1781,0,46,63.06716424638143,23.40679196640849,1840.7367499894463,1334.0,14.909745064811203,0.0,46,50,53,55,63,76,160,300,1800,1800,1800
GET,GET /api/public/scoreboard [burst],23726,0,46,51.76683077700844,21.367291978094727,1830.4159170365892,1334.0,198.62358866238662,0.0,46,50,53,55,62,69,96,150,1800,1800,1800
GET,GET /scoreboard,1149,0,49,176.07080546354436,26.296166994143277,15552.66008299077,28375.066144473454,9.618920314131428,0.0,49,53,57,59,67,82,210,4100,15000,16000,16000
GET,GET /scoreboard [burst],10256,0,49,125.21941439350576,21.8163329991512,15771.55149995815,28374.816595163808,85.85870038444902,0.0,49,54,57,59,66,79,130,270,14000,16000,16000
,Aggregated,38399,0,47,84.78894957544823,21.367291978094727,15771.55149995815,11794.646683507382,321.45946139454543,0.0,47,52,55,57,65,82,260,400,13000,15000,16000
