Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET / [scoreboard surge],102,0,9100,9228.472243854661,1608.620917017106,25970.011249999516,155338.0,0.8843802375250062,0.0,9100,9500,9700,9800,11000,16000,24000,25000,26000,26000,26000
GET,GET /api/public/event-state,172,0,16,527.5772364531254,8.482125005684793,6061.065750021953,400.0,1.4913078515127554,0.0,16,20,24,28,2600,4100,5800,5900,6100,6100,6100
GET,GET /api/public/scoreboard,342,0,16,88.2336361036222,8.355333004146814,3453.1166249653324,1165.0,2.965274914054432,0.0,16,18,20,21,26,110,1400,2400,3500,3500,3500
GET,GET /api/public/scoreboard [burst],2651,0,16,45.90419902292251,8.213791996240616,16415.065666020382,1165.0,22.98521578116462,0.0,16,18,20,22,26,34,250,910,2700,16000,16000
GET,GET /scoreboard,215,0,4900,5239.667481763105,1355.4062499897555,19996.65545800235,27167.0,1.8641348143909442,0.0,4900,5100,5300,5500,6200,8400,17000,19000,20000,20000,20000
GET,GET /scoreboard [burst],1067,0,5100,5373.142673507969,989.015708968509,19796.380459039938,27166.694470477974,9.251310916070407,0.0,5100,5300,5400,5600,6100,6600,15000,18000,19000,20000,20000
,Aggregated,4549,0,19,1768.2099648081737,8.213791996240616,25970.011249999516,11920.83732688503,39.441624514718164,0.0,19,40,4500,4800,5400,6100,9300,11000,20000,26000,26000
