Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET / [scoreboard surge],596,0,350,457.14998889361715,153.58029201161116,2657.8540420159698,155335.63926174497,4.993077255953684,0.0,350,430,490,550,790,1100,1800,2200,2700,2700,2700
GET,GET /api/public/event-state,981,0,26,82.34157055537108,7.894125010352582,2146.721458993852,400.0,8.218471120957322,0.0,26,37,53,87,240,350,600,820,2100,2100,2100
GET,GET /api/public/scoreboard,1902,0,25,67.71972721606492,7.316333998460323,1154.6772919828072,1165.0,15.934283457758232,0.0,25,35,48,64,160,280,510,840,1100,1200,1200
GET,GET /api/public/scoreboard [burst],25615,0,24,52.36041564869546,7.0364580024033785,2551.752542029135,1165.0,214.5934126027745,0.0,24,32,40,49,100,210,340,540,1000,1600,2600
GET,GET /scoreboard,1265,0,34,90.08531699195439,10.281958966515958,2093.9635839895345,27167.0,10.597722699297668,0.0,34,50,70,97,210,350,730,910,1200,2100,2100
GET,GET /scoreboard [burst],10981,0,35,76.14489190764651,9.434084000531584,4370.871125021949,27167.0,91.99493514702584,0.0,35,47,60,74,150,280,530,750,1700,2400,4400
,Aggregated,41340,0,28,67.08656086440234,7.0364580024033785,4370.871125021949,11072.008417997098,346.33190228376725,0.0,28,37,49,62,140,270,480,700,1500,2500,4400
